Average of 1000

Sorted cases
N		Selection	Bubble		Insertion	Shell		Merge		Quick
200		16122		20876		7832		10233		48577		21449
400		34589		43904		214		2275		20834		4056
600		73087		95712		324		3877		31490		7209
800		136871		168381		447		5670		41629		8516
1000		205361		265088		597		6442		58647		10308
1200		292406		376727		637		8492		55289		12734
1400		400386		515495		786		10129		88772		15918
1600		519319		677648		873		11954		73845		17955
1800		637671		853519		970		12703		91963		19902
2000		787919		1045905		1129		14861		106312		21016

Random cases
N		Selection	Bubble		Insertion	Shell		Merge		Quick
200		36249		88883		33744		43229		50154		56306
400		90030		232513		23119		25131		30239		21231
600		193065		557724		50082		43141		58452		33092
800		329154		950019		82673		64097		80001		46043
1000		500677		1378035		125930		81489		103281		63309
1200		701476		1951849		175611		100370		128172		72072
1400		949962		2565256		235616		124198		149327		85604
1600		1216168		3361303		318562		149205		171934		99941
1800		1707736		4356616		398553		168413		190472		112125
2000		1880905		5256539		492712		184834		215478		129242

Reverse-sorted cases
N		Selection	Bubble		Insertion	Shell		Merge		Quick
200		35389		16107		16086		3356		8010		2919
400		85948		132187		40079		7570		17485		7254
600		185241		302922		90625		12457		30285		12263
800		324475		532393		161484		16056		38008		17212
1000		500008		839704		236055		21434		53370		22324
1200		724898		1211663		348318		27644		59472		26842
1400		956701		1645463		478084		32120		79074		32541
1600		1245184		2152232		607222		36005		96921		65541
1800		1561032		2730227		758860		43741		88739		43548
2000		1943119		3358826		946047		49787		97119		48596

W 02/06/19
