cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Wyoming,0,0,.998125,.001875,,68.34772,28.35223,,3.300052,74.69264,34.71107,,5.114105,61.90472,22.18982,,1.725744,39.99549,52.33723,27.37051,.2137007,.9333333,.9994143,.0022383,257488.7,300254.5,216640,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Wisconsin,.1104375,5.152678,.188225,.811775,,46.52716,52.51878,,.9540522,50.88091,56.81895,,1.445407,42.22155,48.16315,,.5175107,-5.991621,2.692066,-14.57076,.8521716,.9315081,.751552,.9671612,3046440,3444078,2654812,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",West Virginia,.0000625,.0135846,.9931,.0069,,66.00268,32.20667,,1.790648,72.96925,39.23618,,2.742915,58.95394,25.2661,,.9546654,33.79601,47.66593,19.76032,.2146309,.9565217,.9987115,.0084415,687220,796483.5,582298.5,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Washington,.0021375,.084686,.010525,.989475,,37.17141,60.66965,,2.158944,42.96235,66.47951,,3.317964,31.43188,54.84283,,1.14453,-23.49824,-11.93278,-34.97925,.6199525,.7861239,.0305728,.994884,3575635,4053996,3104948,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Virginia,.0163,.5470417,.0408,.9592,,44.04475,54.93501,,1.02024,47.97368,58.86252,,1.547549,40.13519,51.00891,,.5524415,-10.89026,-3.047565,-18.69908,.9466912,.812917,.1809769,.997314,4219893,4772683,3679634,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Vermont,.00035,.1590325,.014675,.985325,,33.7304,63.39186,,2.877742,41.42506,70.92033,,4.447824,26.19363,55.66744,,1.511755,-29.66146,-14.38361,-44.64993,.5144804,.7862888,.0353754,.990919,318987.9,364628,274873,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Utah,.00055,.064629,.9656,.0344,,56.9991,39.79797,,3.202932,62.82788,45.62686,,4.960691,51.10011,34.02871,,1.676635,17.20112,28.59401,5.637871,.2200445,.971657,.9955488,.0427512,1224823,1404182,1052381,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Texas,.0146,.2190843,.720025,.279975,,51.45472,47.55337,,.9919078,55.89013,51.96129,,1.50385,47.0493,43.12027,,.5375,3.901352,12.74677,-4.901213,.2958578,.9985713,.9981258,.3575814,9468162,1.07e+07,8243388,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Tennessee,.000625,.0341734,.961125,.038875,,57.55027,41.36631,,1.083421,63.14699,46.97096,,1.644913,51.91344,35.77151,,.5857124,16.18397,27.34562,4.947853,.2212251,.9794212,.9962516,.0486986,2598689,2967468,2242462,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",South Dakota,.0001875,.0690689,.9715,.0285,,59.42563,39.12699,,1.447379,65.75801,45.48859,,2.208972,53.07188,32.7851,,.776352,20.29865,32.96409,7.581699,.2188883,.9719298,.9963688,.0354288,390519.4,445724,336468.5,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",South Carolina,.0012125,.0769277,.8723,.1277,,53.5644,45.57706,,.8585308,58.06005,50.09851,,1.298265,49.03947,41.07721,,.4669465,7.98734,16.96299,-1.042528,.2437235,.9935396,.9961345,.1622754,2211267,2507203,1921296,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Rhode Island,.0003625,.1098078,.007425,.992575,,37.44178,61.15941,,1.398812,43.2987,66.89909,,2.133633,31.73274,55.27868,,.7510109,-23.71763,-12.00116,-35.16852,.8417509,.78654,.0292843,.9985291,474217.2,536965.5,412111,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Pennsylvania,.3092375,6.999615,.214525,.785475,,47.21593,52.06551,,.7185565,51.20519,56.0595,,1.08347,43.23462,48.07687,,.3925638,-4.849586,3.108858,-12.81097,.8409277,.9542315,.8452618,.9586558,6274897,7083450,5470788,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Oregon,.00635,.4281755,.064775,.935225,,41.8457,55.88615,,2.268156,47.68513,61.74917,,3.489519,36.02082,50.08229,,1.200578,-14.04045,-2.4842,-25.66841,.6395214,.8112219,.1940963,.9703588,2100020,2376266,1829342,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Oklahoma,.00015,.014231,.9941,.0059,,62.67875,36.12304,,1.198215,68.17075,41.63186,,1.822608,57.12324,30.65191,,.6460044,26.55571,37.48909,15.50188,.214415,.9533898,.9987115,.0071945,1457478,1677520,1244904,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Ohio,.0452,1.131596,.480725,.519275,,49.33561,49.67384,,.9905506,53.69566,54.06964,,1.501754,44.93676,45.30524,,.5367838,-.3382324,8.380198,-9.133698,.4404285,.9966299,.9920347,.6619236,5672659,6417278,4945940,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",North Dakota,.0000125,.0054124,.990975,.009025,,60.3704,37.00854,,2.621057,65.96561,42.5827,,4.043818,54.73654,31.46365,,1.381045,23.36187,34.39531,12.23924,.2152426,.9833795,.9994143,.0113513,343264.8,395206,292980.5,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",North Carolina,.0412,1.174174,.4686,.5314,,49.36377,49.86629,,.7699338,53.59364,54.07866,,1.162212,45.14811,45.64127,,.4199175,-.5025207,7.936508,-8.946293,.4385403,.9843338,.9628675,.6690222,4998299,5653672,4355695,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",New York,.0003875,.0070644,.0006,.9994,,36.37465,62.5808,,1.044552,40.76731,66.95413,,1.584988,32.01083,58.16175,,.5652553,-26.20615,-17.41631,-34.91705,.8333333,.7822194,.0023427,.9998721,7697350,8763816,6664055,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",New Mexico,.0087,1.513255,.052,.948,,42.57939,55.57557,,1.845045,47.67188,60.63604,,2.82773,37.57494,50.49502,,.982793,-12.99618,-2.866449,-23.03938,.8139423,.8147416,.1983132,.9878813,815291.7,922601.5,710063,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",New Jersey,.0061875,.2236314,.023525,.976475,,40.46156,58.7077,,.830732,45.93013,64.21933,,1.255492,34.96938,53.23438,,.4521996,-18.24614,-7.307299,-29.22225,.6471838,.792263,.0713365,.9894801,3913976,4433157,3407492,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",New Hampshire,.0162125,3.009663,.22385,.77615,,45.73921,53.26267,,.9981162,52.21553,59.72077,,1.513436,39.25646,46.80233,,.5407759,-7.523458,5.416292,-20.47656,.6325665,.9024673,.6634649,.895888,764730.4,864759.5,667217,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Nevada,.030925,3.603121,.177525,.822475,,46.00626,52.3812,,1.612538,50.51431,56.84877,,2.465841,41.5461,47.85017,,.8623205,-6.374944,2.652372,-15.26843,.763132,.9003313,.6347663,.9471126,1222817,1382359,1066052,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Nebraska,0,0,.98985,.01015,,58.31342,39.89704,,1.789539,62.97185,44.61441,,2.741386,53.58865,35.24449,,.9530641,18.41639,27.67379,9.023613,.215563,.9950739,.9997658,.0129181,869209.1,994084,748329.5,20:24:04 30 Sep 2020,40000
020,President,polls-plus,9/30/2020,Trump,Biden,"",Montana,.0008375,.2314016,.8731,.1269,,54.18128,43.67649,,2.142227,60.17522,49.65811,,3.29174,48.2115,37.69505,,1.135938,10.50479,22.40546,-1.386726,.2418967,.9814815,.9895748,.1593017,519796.2,591245.5,450253,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Missouri,.000375,.0185189,.9087,.0913,,54.24828,44.35769,,1.394029,59.02483,49.12861,,2.126221,49.47025,39.57736,,.7485135,9.890596,19.41851,.3724823,.2345383,.9964403,.9985943,.1163586,2839058,3232309,2459126,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Mississippi,.00215,.2527469,.86585,.13415,,55.3838,43.82432,,.7918745,62.19066,50.72001,,1.195839,48.46941,37.00629,,.4315733,11.55949,25.1642,-2.253988,.2370214,.9375699,.961579,.1608685,1217273,1380713,1058179,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Minnesota,.0382125,1.774129,.120925,.879075,,45.30711,53.16665,,1.52625,49.62973,57.50282,,2.33162,40.96176,48.83175,,.8174487,-7.859537,.7410259,-16.48508,.8608642,.8708017,.4877592,.9790881,3058050,3457030,2666965,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Michigan,.095575,2.696536,.14095,.85905,,45.95244,52.96133,,1.086226,50.16842,57.12585,,1.649242,41.80615,48.75026,,.5871872,-7.008896,1.402958,-15.28888,.9191203,.8971829,.6070048,.9857709,5029752,5687171,4389360,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Massachusetts,.0003,.012678,.00145,.99855,,33.11719,65.32088,,1.561932,38.88589,70.97987,,2.387142,27.47759,59.53797,,.8360152,-32.20369,-20.64957,-43.49496,.7241379,.7826098,.0049198,.9995204,3341304,3804510,2888505,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Maryland,.0001625,.0082308,.00105,.99895,,35.06345,63.56057,,1.375985,39.77615,68.24066,,2.098266,30.42337,58.81861,,.7390828,-28.49712,-19.05765,-37.78041,.547619,.7822213,.0026942,.9994245,2809048,3200435,2428553,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Maine,.002425,.4589563,.11615,.88385,,43.26654,55.2384,,1.49506,49.75632,61.73588,,2.2833,36.76823,48.74378,,.8012093,-11.97186,.9922848,-24.91834,.6515282,.8392544,.3545742,.9487433,754658.3,853200.5,658705,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Louisiana,.001925,.1357369,.9064,.0936,,56.14729,42.9804,,.8723081,62.4913,49.3401,,1.319486,49.76888,36.66103,,.4742466,13.16688,25.84286,.4257336,.231079,.9567308,.9813752,.114536,2017257,2293491,1746112,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Kentucky,.0001125,.0081137,.984825,.015175,,59.70945,39.10846,,1.182097,65.15254,44.60337,,1.797641,54.21126,33.66824,,.6375512,20.60099,31.46715,9.638838,.2164598,.9818781,.9988286,.0190574,1933266,2211849,1662199,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Kansas,.0002125,.0250091,.94335,.05665,,54.86833,43.29794,,1.833727,59.52581,47.92412,,2.810098,50.24541,38.6448,,.9769433,11.57039,20.81716,2.373274,.2260826,.9973522,.9992972,.0722645,1207117,1373101,1045768,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Iowa,.00535,.4927666,.6135,.3865,,50.37532,48.29203,,1.332641,55.17854,53.11037,,2.031091,45.52641,43.46276,,.7164059,2.083292,11.68447,-7.571745,.3464955,.997542,.9960173,.4931253,1567347,1774820,1362771,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Indiana,.0001625,.008298,.963675,.036325,,55.95061,42.67681,,1.372578,60.51694,47.23043,,2.092987,51.37092,38.11427,,.7373008,13.2738,22.36566,4.181978,.2213921,.9979353,.9996486,.0463644,2822836,3203855,2448014,20:24:04 30 Sep 2020,40000
